destination_id,destination_name,state_ut,region,category,famous_for,nearby_cities,local_language,pin_code,nearest_airport,avg_monthly_visitors,peak_season,off_season,visitor_growth_rate_pct,avg_length_of_stay_days,booking_rate_pct,domestic_visitors_pct,international_visitors_pct,repeat_visitors_pct,entry_fee_inr,safety_rating_1_5,travel_difficulty,accessibility_by_road,accessibility_by_rail,emergency_services_available,hotel_count,avg_hotel_cost_inr,restaurant_count,public_transport_available,internet_connectivity_1_5,avg_temperature_c,rainfall_mm,pollution_index_1_10,cleanliness_rating_1_10,eco_tourism_score_1_10,popular_festival,top_local_cuisine,cultural_heritage_index_1_100,adventure_activities,recommended_stay_days,tourism_development_fund_inr,tour_guide_availability,women_traveler_safety_1_5,child_friendliness_1_5,nightlife_availability,instagram_popularity_1_100,sustainability_rating_1_5,smart_tourism_features,local_crafts_shopping,most_visited_month
DST1012,Place_12,Tamil Nadu,East,Beach,Temples,Kolkata,Tamil,843631,Pune Airport,17285,Winter,Winter,11.45,8,72.71,79.74,13.44,48.53,65,4,Easy,true,false,false,58,5647,194,false,1,23,1054.9,8,10,8,Onam,Momos,87,true,2,26470583,false,1,2,true,68,4,false,false,August
DST1013,Place_13,Goa,Central,Hill Station,Food,Guwahati,Hindi,593213,Indira Gandhi International Airport,36003,Summer,Summer,12.86,10,49.11,76.01,9.28,33.76,32,5,Easy,true,true,false,74,8540,50,true,1,26,241.6,9,3,6,Onam,Dosa,80,true,3,36578589,true,4,1,false,52,1,true,true,March
DST1014,Place_14,Rajasthan,East,Hill Station,Food,Guwahati,Hindi,176620,Indira Gandhi International Airport,22367,Monsoon,Summer,2.51,11,82.47,82.41,9.98,25.55,268,5,Difficult,true,true,true,87,1126,182,true,3,21.5,1242.8,10,2,2,Durga Puja,Dosa,76,true,7,34713380,false,1,5,false,68,5,false,true,January
DST1015,Place_15,Tamil Nadu,South,Wildlife,Scenery,Cochin,Hindi,521972,Pune Airport,25136,Winter,Monsoon,12.43,9,53.7,85.33,23.2,23.1,29,5,Easy,false,false,false,67,2757,180,false,5,14.5,328.8,9,2,8,Navratri,Biryani,32,false,5,18754455,true,2,5,true,85,5,false,false,May
DST1016,Place_16,Himachal Pradesh,South,Wildlife,Wildlife,Jaipur,Marathi,182604,Goa International Airport,38787,Monsoon,Winter,11.8,11,82.39,67.9,18.68,29.97,25,1,Difficult,true,false,true,38,8390,21,true,4,18.7,1152.7,5,9,8,Bihu,Dosa,90,true,7,12237531,false,4,5,false,74,1,true,false,January
DST1017,Place_17,Goa,North,Heritage,Food,Pune,Hindi,718740,Raja Bhoj Airport,25425,Winter,Summer,5.86,7,61.35,77.4,31.39,10.11,369,5,Easy,false,false,true,47,3269,105,true,3,29,1094.8,10,9,7,Diwali,Pav Bhaji,50,true,4,36767969,false,5,1,false,22,5,false,false,October
DST1018,Place_18,Kerala,South,Beach,Temples,Indore,Tamil,909982,Devi Ahilya Bai Holkar Airport,30465,Summer,Monsoon,10.66,7,69.82,76.04,16.31,18.85,209,1,Difficult,true,false,false,9,2614,13,true,2,31.8,1976.8,9,5,8,Ganesh Chaturthi,Vada Pav,98,false,3,3758641,true,4,4,true,10,3,true,false,December
DST1019,Place_19,Rajasthan,Northeast,Wildlife,Culture,Hyderabad,Marathi,267596,Chhatrapati Shivaji Maharaj International Airport,19961,Winter,Monsoon,1,8,79.48,61.4,9.48,16.33,268,2,Difficult,true,false,true,23,1098,128,false,2,28.4,1161.6,3,2,9,Durga Puja,Pav Bhaji,96,true,4,44257444,true,2,5,false,54,5,false,false,October
DST1020,Place_20,Himachal Pradesh,East,Heritage,Food,Guwahati,Tamil,547822,Lokpriya Gopinath Bordoloi International Airport,34443,Winter,Winter,14.05,8,42.02,89.21,18.54,58.02,323,4,Moderate,true,false,true,58,2506,14,true,4,39,1214.1,8,10,3,Onam,Idli,84,false,5,44195798,true,2,5,true,83,2,true,false,January
DST1021,Place_21,Himachal Pradesh,South,Heritage,Wildlife,Goa,Bengali,824179,Sardar Vallabhbhai Patel International Airport,19823,Monsoon,Monsoon,8.71,3,81.06,73.21,35.91,13.24,122,3,Moderate,false,true,false,18,4475,139,false,2,28.4,930.4,7,7,2,Eid,Pav Bhaji,41,true,2,38107963,true,1,2,true,23,5,true,true,December
DST1022,Place_22,Kerala,Central,Wildlife,Scenery,Cochin,Hindi,694515,Jaipur International Airport,10873,Winter,Summer,9.68,10,46.93,62.54,19.19,35.05,32,1,Easy,false,false,true,14,4257,55,false,3,16.8,1863.1,4,8,7,Eid,Dosa,74,true,3,46083279,true,4,5,true,49,1,true,true,March
DST1023,Place_23,Rajasthan,North,Hill Station,Temples,Chennai,Marathi,385356,Cochin International Airport,6587,Monsoon,Monsoon,10.31,5,57.92,76.03,34.18,55.99,142,1,Easy,true,false,true,53,1375,84,false,5,24.7,1229.1,9,9,2,Lohri,Kebabs,36,false,9,1733480,true,2,5,false,31,3,false,true,March
DST1024,Place_24,Goa,East,Beach,Scenery,Ahmedabad,Marathi,402262,Devi Ahilya Bai Holkar Airport,39713,Winter,Winter,8.86,14,63.64,65.65,18,40.38,144,3,Moderate,true,true,true,15,4474,135,false,2,35.1,2850.9,7,4,3,Pongal,Kebabs,99,true,3,45716127,false,4,4,false,55,5,true,true,May
DST1025,Place_25,Maharashtra,North,Beach,Culture,Pune,Hindi,915034,Kempegowda International Airport,26852,Summer,Winter,12.99,14,84.77,84.65,14.85,34.76,261,4,Difficult,false,true,true,35,1235,146,false,3,19.8,2686.7,8,1,6,Onam,Chole Bhature,73,true,8,39753487,false,3,5,false,93,4,false,true,October
DST1026,Place_26,Rajasthan,East,Hill Station,Food,Chennai,Malayalam,641828,Sardar Vallabhbhai Patel International Airport,38535,Winter,Monsoon,9.54,11,41.12,80.01,32.12,47.15,4,5,Difficult,true,true,true,70,5753,145,true,2,32.1,787.1,8,7,9,Holi,Chole Bhature,82,true,7,46558306,false,2,5,false,56,3,false,true,August
DST1027,Place_27,Kerala,Central,Wildlife,Food,Jaipur,Malayalam,266901,Netaji Subhas Chandra Bose International Airport,8004,Monsoon,Summer,13.71,10,67.96,69.45,12.32,27.67,160,4,Moderate,false,false,true,14,5163,67,false,1,33.6,1271.5,3,7,9,Pongal,Rogan Josh,76,false,5,18678170,true,1,1,false,68,3,false,true,May
DST1028,Place_28,Himachal Pradesh,North,Beach,Wildlife,Bhopal,Tamil,287381,Devi Ahilya Bai Holkar Airport,41496,Winter,Monsoon,9.15,13,72.13,93.27,13.11,19.69,309,1,Moderate,true,true,true,25,8111,112,false,1,38,1940.3,7,1,10,Navratri,Rogan Josh,62,false,9,34932482,false,1,2,true,21,4,true,false,January
DST1029,Place_29,Goa,West,Wildlife,Food,Lucknow,Hindi,820763,Sardar Vallabhbhai Patel International Airport,28823,Winter,Winter,3.4,12,55.83,70.21,6.74,52.36,143,5,Easy,false,true,false,5,9157,72,true,5,22,147.3,8,4,2,Holi,Pav Bhaji,19,false,4,32451795,true,5,1,true,66,5,false,false,March
DST1030,Place_30,Rajasthan,Northeast,Wildlife,Temples,Cochin,Hindi,957887,Sardar Vallabhbhai Patel International Airport,40377,Summer,Monsoon,13.79,11,54.52,79.42,11.57,12.83,429,2,Difficult,false,false,false,50,8699,198,true,1,17.8,759.5,3,4,1,Diwali,Biryani,60,true,7,49471002,true,2,5,false,89,2,true,false,May
DST1031,Place_31,Maharashtra,Northeast,Heritage,Culture,Hyderabad,Bengali,646565,Chaudhary Charan Singh International Airport,8131,Monsoon,Monsoon,10.54,4,64.52,88.05,18.26,50.39,151,3,Moderate,true,false,true,99,7727,152,false,1,25.2,926.6,9,1,6,Bihu,Idli,41,false,6,15743415,false,5,2,true,74,1,true,false,December
DST1032,Place_32,Maharashtra,East,Hill Station,Scenery,Hyderabad,Malayalam,743421,Chhatrapati Shivaji Maharaj International Airport,18696,Summer,Summer,10.79,6,49.36,77.99,18.99,15.17,380,4,Difficult,true,true,true,79,9808,82,false,2,39.8,1267,10,7,7,Diwali,Kebabs,74,false,9,49836684,true,1,4,false,27,3,true,true,August
DST1033,Place_33,Tamil Nadu,West,Wildlife,Culture,Guwahati,Malayalam,552889,Raja Bhoj Airport,26649,Winter,Monsoon,14.8,6,63.41,93.63,19.72,41.28,4,5,Difficult,false,false,false,78,1052,179,false,2,37.1,2679,4,3,8,Ganesh Chaturthi,Dosa,55,false,7,20392343,false,2,1,true,77,2,true,true,March
DST1034,Place_34,Tamil Nadu,North,Urban,Food,Pune,Hindi,352196,Kempegowda International Airport,5099,Summer,Summer,2.05,8,78.25,89.53,21.79,33.85,194,3,Moderate,true,false,true,24,6386,187,true,4,18.5,379.3,10,1,4,Navratri,Rogan Josh,81,false,8,19032474,false,3,4,false,79,1,false,false,December
DST1035,Place_35,Assam,West,Hill Station,Scenery,Mumbai,Tamil,536060,Chaudhary Charan Singh International Airport,32571,Winter,Monsoon,7,13,82.27,92.24,25.02,59.93,482,4,Difficult,true,false,true,25,4103,103,true,5,15.9,290.9,7,7,7,Onam,Dosa,19,true,5,41787435,true,4,5,true,67,1,true,true,August
DST1036,Place_36,Kerala,West,Beach,Wildlife,Pune,Hindi,896184,Chhatrapati Shivaji Maharaj International Airport,31580,Winter,Monsoon,4.35,5,59.26,73.04,11.63,29.4,124,1,Easy,true,true,true,41,1190,188,false,1,24.3,2026.8,8,3,9,Lohri,Sarson da Saag,97,true,7,20029567,true,2,5,true,60,5,false,true,August
DST1037,Place_37,Rajasthan,North,Heritage,Culture,Chennai,Tamil,312620,Chennai International Airport,49627,Summer,Summer,9.83,12,70.87,79.19,26.49,57.86,474,1,Moderate,true,false,true,18,8354,162,false,4,15,1157,8,3,1,Eid,Vada Pav,92,false,4,33150450,false,5,2,false,71,2,false,true,March
DST1038,Place_38,Rajasthan,Central,Beach,Scenery,Guwahati,Malayalam,567927,Kempegowda International Airport,29664,Summer,Summer,12.3,14,40,89.41,16.78,30.19,75,1,Difficult,false,false,false,62,4472,159,true,2,32.7,615.4,5,3,3,Onam,Vada Pav,71,true,7,22975588,false,2,4,false,71,3,false,true,August
DST1039,Place_39,Assam,West,Beach,Scenery,Bhopal,Bengali,533886,Chhatrapati Shivaji Maharaj International Airport,16582,Winter,Winter,14.53,13,67.52,91.62,30.69,44.09,305,2,Moderate,false,true,false,61,6273,31,false,4,11.1,2135.2,7,4,5,Bihu,Biryani,80,true,4,5400729,true,1,5,true,44,3,true,false,May
DST1040,Place_40,Himachal Pradesh,West,Hill Station,Scenery,Goa,Marathi,298675,Indira Gandhi International Airport,27469,Summer,Summer,7.36,5,88.76,93.05,24.5,42.18,168,1,Moderate,false,true,true,61,3098,103,true,1,16.7,804.5,8,5,7,Eid,Momos,82,false,7,12604935,true,1,4,false,85,5,true,false,March
DST1041,Place_41,Himachal Pradesh,Central,Beach,Temples,Mumbai,Malayalam,786838,Chaudhary Charan Singh International Airport,23402,Summer,Monsoon,12.01,14,55.61,90.77,24.4,14.32,216,1,Difficult,false,true,false,73,3585,126,false,4,10.5,1740.4,2,1,5,Lohri,Biryani,63,true,6,21490484,false,1,4,true,36,3,false,true,March
DST1042,Place_42,Assam,West,Wildlife,Culture,Hyderabad,Tamil,519655,Chennai International Airport,25236,Winter,Winter,13.84,14,69.74,85.58,28.99,47.17,182,1,Easy,false,true,true,74,1450,83,false,3,16.8,1285.4,10,3,1,Ganesh Chaturthi,Idli,92,false,3,39660780,true,4,2,true,65,1,true,false,March
DST1043,Place_43,Himachal Pradesh,West,Beach,Scenery,Delhi,Hindi,871784,Goa International Airport,26110,Monsoon,Summer,10.57,2,78.11,60.85,16.66,20.43,336,5,Moderate,true,false,false,28,5429,73,false,5,11.6,1147.5,4,1,1,Holi,Biryani,48,false,8,22000190,true,2,2,true,38,5,true,true,October
DST1044,Place_44,Tamil Nadu,West,Heritage,Culture,Hyderabad,Malayalam,523026,Kempegowda International Airport,24430,Summer,Summer,4.4,7,70.45,71.02,20.02,29.42,112,3,Difficult,false,false,true,84,9956,159,true,1,30.2,2191.3,6,3,1,Eid,Pav Bhaji,38,true,2,3470174,true,1,5,true,52,1,true,true,October
DST1045,Place_45,Rajasthan,Northeast,Heritage,Scenery,Pune,Bengali,904734,Netaji Subhas Chandra Bose International Airport,45407,Summer,Winter,9.51,5,60.92,64.51,25.4,49.11,275,2,Moderate,false,false,false,64,1481,150,true,3,27.1,1878.9,9,3,8,Navratri,Kebabs,25,false,6,3533447,true,1,5,true,26,1,false,true,March
DST1046,Place_46,Assam,South,Urban,Wildlife,Chennai,Tamil,428380,Jaipur International Airport,38948,Monsoon,Monsoon,14.58,12,47.63,65.42,19.75,57.22,475,4,Moderate,true,false,true,27,3407,164,false,4,16.4,1590.1,2,4,7,Ganesh Chaturthi,Chole Bhature,53,true,9,44598557,false,3,4,false,46,4,true,true,December
DST1047,Place_47,Rajasthan,Central,Heritage,Wildlife,Mumbai,Hindi,164467,Netaji Subhas Chandra Bose International Airport,18763,Summer,Monsoon,14.83,11,63.19,70.18,20.55,37.99,177,2,Difficult,false,false,true,51,5648,56,false,1,16.2,471.4,7,10,3,Onam,Momos,76,false,9,25328890,true,1,1,true,49,4,true,false,May
DST1048,Place_48,Maharashtra,West,Beach,Wildlife,Ahmedabad,Marathi,464494,Indira Gandhi International Airport,49960,Winter,Winter,9.99,11,54.74,62.62,14.54,35.97,124,3,Easy,true,false,false,42,1075,100,true,4,18.7,1798.4,2,1,4,Navratri,Idli,78,false,5,36445519,true,5,5,true,66,5,false,false,August
DST1049,Place_49,Tamil Nadu,Northeast,Heritage,Food,Mumbai,Tamil,542762,Indira Gandhi International Airport,18029,Summer,Monsoon,13.42,6,74.8,68.51,15.06,35.25,290,1,Difficult,false,false,false,84,2460,30,false,5,33.9,2109,10,5,8,Eid,Rogan Josh,79,false,8,15153078,false,1,4,true,15,1,false,true,May
DST1050,Place_50,Goa,Central,Hill Station,Scenery,Jaipur,Hindi,880196,Devi Ahilya Bai Holkar Airport,39180,Winter,Summer,3.8,12,62.1,93.49,29.46,50.83,433,1,Moderate,true,true,true,56,8871,40,false,5,14.5,2462.9,2,4,7,Pongal,Chole Bhature,26,false,4,40061684,true,5,4,false,68,5,true,false,October
DST1051,Place_51,Tamil Nadu,East,Heritage,Food,Bengaluru,Marathi,889480,Lokpriya Gopinath Bordoloi International Airport,5652,Monsoon,Monsoon,4.45,10,82.49,70.92,5.15,59.66,462,4,Easy,false,false,false,17,8501,130,true,2,13.7,968.3,1,5,7,Ganesh Chaturthi,Kebabs,90,false,7,20750366,false,4,3,false,68,4,false,true,August
DST1052,Place_52,Assam,East,Wildlife,Culture,Cochin,Hindi,873500,Lokpriya Gopinath Bordoloi International Airport,7834,Monsoon,Summer,14.34,5,49.67,65.59,8.34,41.68,416,2,Easy,false,false,false,12,2998,47,false,3,25.2,866.5,9,6,6,Holi,Momos,51,true,6,21398238,true,4,3,false,80,5,false,true,October
DST1053,Place_53,Goa,West,Hill Station,Food,Bengaluru,Marathi,683194,Pune Airport,38219,Monsoon,Monsoon,2.89,2,60.89,85.14,38.21,28.93,322,2,Easy,false,true,true,36,3590,48,false,5,35.9,2271.4,6,3,9,Diwali,Biryani,49,false,4,36310242,false,2,1,false,52,2,false,false,December
DST1054,Place_54,Maharashtra,Northeast,Urban,Culture,Indore,Marathi,438781,Goa International Airport,23487,Summer,Summer,3.68,12,67.88,89,11.55,20.93,198,4,Easy,true,false,false,90,6032,173,true,3,16.7,1455.6,2,3,6,Eid,Sarson da Saag,23,true,3,30646797,false,3,2,true,93,5,true,false,August
DST1055,Place_55,Assam,Northeast,Wildlife,Culture,Indore,Marathi,391922,Pune Airport,8084,Monsoon,Winter,6.89,10,46.3,70.99,19.63,19.94,137,2,Moderate,true,true,true,21,9390,109,true,4,13.2,1277,10,5,1,Bihu,Idli,41,false,7,8970040,true,2,1,true,83,2,false,true,March
DST1056,Place_56,Kerala,Central,Beach,Culture,Kolkata,Hindi,258497,Netaji Subhas Chandra Bose International Airport,46630,Summer,Summer,9.25,6,69.4,69.75,34.74,52.81,488,2,Difficult,false,true,false,9,2097,20,false,3,24.8,565.8,4,5,5,Onam,Vada Pav,52,true,4,18501934,false,1,1,false,24,5,true,false,March
DST1057,Place_57,Rajasthan,Central,Beach,Food,Lucknow,Marathi,862405,Chaudhary Charan Singh International Airport,15692,Summer,Monsoon,9.45,11,54.55,68.46,5,59.62,217,2,Difficult,false,false,true,76,4494,78,true,1,32,1359,4,9,8,Bihu,Idli,86,false,2,38798973,false,4,5,true,24,2,false,false,March
DST1058,Place_58,Maharashtra,Northeast,Beach,Scenery,Kolkata,Tamil,838748,Sardar Vallabhbhai Patel International Airport,3655,Summer,Summer,5.09,14,51.48,73.76,37.38,44.9,296,4,Easy,true,true,true,54,4965,43,true,2,28.5,2205.8,7,7,6,Lohri,Pav Bhaji,56,true,8,47743718,true,5,4,true,96,2,false,true,August
DST1059,Place_59,Rajasthan,Central,Wildlife,Food,Guwahati,Bengali,220918,Chhatrapati Shivaji Maharaj International Airport,41201,Monsoon,Monsoon,13.89,13,47.1,63.05,6.87,57.79,167,4,Easy,true,false,false,98,3141,14,true,3,22.5,1406.6,7,6,5,Ganesh Chaturthi,Rogan Josh,32,false,7,17119293,false,2,1,true,19,2,true,false,January
DST1060,Place_60,Himachal Pradesh,Northeast,Wildlife,Scenery,Goa,Bengali,976468,Devi Ahilya Bai Holkar Airport,35082,Monsoon,Monsoon,13.81,14,57.49,83.42,10.98,27.5,133,3,Difficult,false,true,true,87,8020,29,true,3,11.2,2630.9,4,2,9,Diwali,Biryani,69,false,8,10286583,true,4,2,true,77,2,false,false,March
DST1061,Place_61,Kerala,South,Wildlife,Scenery,Goa,Marathi,551392,Cochin International Airport,48670,Summer,Summer,6.49,12,86.45,88.78,6.02,41.38,160,2,Easy,true,true,true,16,7503,72,true,5,19,112.2,5,9,7,Durga Puja,Idli,21,true,5,18340632,false,5,4,true,42,3,false,true,May
DST1062,Place_62,Kerala,Northeast,Hill Station,Culture,Kolkata,Bengali,505890,Jaipur International Airport,6272,Monsoon,Monsoon,7.08,8,41.55,83.23,23.18,35.58,271,3,Difficult,true,false,false,93,8336,54,false,1,37.6,621.9,9,10,7,Holi,Dosa,95,true,3,29622272,true,5,5,false,85,3,false,false,March
DST1063,Place_63,Maharashtra,East,Hill Station,Food,Guwahati,Bengali,555618,Chennai International Airport,1218,Summer,Winter,10.83,4,82.61,74.74,38.01,34.1,279,5,Difficult,true,false,true,48,9488,179,false,5,16.7,1882.4,6,3,1,Pongal,Kebabs,67,false,4,34879486,true,1,3,true,18,5,true,false,October
DST1064,Place_64,Kerala,Central,Beach,Scenery,Mumbai,Marathi,609325,Jaipur International Airport,31892,Monsoon,Monsoon,10.28,5,59.87,70.11,34.37,41.62,247,5,Easy,true,true,false,81,3772,22,true,3,28.4,2048.7,2,7,2,Eid,Pav Bhaji,31,true,8,45980892,true,2,1,false,36,4,false,false,March
DST1065,Place_65,Goa,Northeast,Heritage,Wildlife,Chennai,Marathi,320979,Indira Gandhi International Airport,38471,Winter,Winter,6.35,13,68.08,74.33,27.39,25.52,221,2,Difficult,true,true,false,72,1317,146,true,4,37.2,899.5,2,8,10,Navratri,Kebabs,73,false,2,19222847,false,5,4,true,71,1,false,true,March
DST1066,Place_66,Kerala,Northeast,Beach,Scenery,Cochin,Tamil,872793,Raja Bhoj Airport,49762,Monsoon,Winter,6.8,11,65.64,74.83,11.49,42.03,315,1,Difficult,true,false,true,63,1271,142,false,5,24.6,2831.5,3,9,5,Pongal,Dosa,83,true,2,44596892,true,4,3,true,20,3,false,true,January
DST1067,Place_67,Rajasthan,Central,Urban,Wildlife,Kolkata,Malayalam,111957,Pune Airport,22515,Monsoon,Monsoon,5.87,10,86.29,83.31,35.44,43.64,376,5,Difficult,true,false,false,14,2367,175,false,5,23.4,1058.9,7,5,3,Navratri,Biryani,21,false,5,6919751,true,2,5,true,24,2,true,false,January
DST1068,Place_68,Rajasthan,South,Hill Station,Food,Pune,Hindi,959076,Sardar Vallabhbhai Patel International Airport,35307,Monsoon,Winter,4.3,11,78.51,92.48,31.42,51.81,329,1,Easy,true,true,false,52,8021,103,false,1,14.2,1292.5,2,6,8,Durga Puja,Dosa,96,true,3,37758887,false,1,2,false,80,3,true,false,October
DST1069,Place_69,Assam,South,Wildlife,Food,Guwahati,Marathi,999726,Goa International Airport,14145,Summer,Winter,7.41,14,89.24,62.47,14.34,46.52,394,3,Moderate,false,false,true,32,8250,186,true,5,39.4,2931.5,1,6,4,Eid,Kebabs,33,true,5,25389981,false,1,5,true,99,2,true,true,December
DST1070,Place_70,Rajasthan,Central,Hill Station,Food,Mumbai,Marathi,117829,Raja Bhoj Airport,18986,Summer,Summer,10.61,2,79.72,93.37,33.18,25.99,171,2,Moderate,true,true,false,9,4311,101,false,5,15.3,1489.7,4,5,7,Diwali,Dosa,81,false,5,24077288,false,4,2,false,17,4,true,false,May
DST1071,Place_71,Assam,North,Wildlife,Scenery,Chennai,Bengali,367981,Rajiv Gandhi International Airport,20088,Winter,Winter,11.39,13,54.79,91.86,35.7,32.54,469,3,Moderate,true,false,true,96,9634,110,false,2,24.4,1877.3,10,7,5,Onam,Sarson da Saag,29,false,9,27605253,false,5,2,true,78,3,true,false,May
DST1072,Place_72,Rajasthan,Central,Urban,Temples,Bengaluru,Tamil,557357,Kempegowda International Airport,6064,Winter,Winter,11.9,12,88.14,64.12,29.44,16.02,258,3,Moderate,true,false,false,48,9800,165,true,3,15.1,1666.5,7,1,6,Durga Puja,Chole Bhature,12,true,2,38689270,true,1,2,true,75,1,true,false,August
DST1073,Place_73,Goa,Central,Urban,Scenery,Delhi,Bengali,246104,Rajiv Gandhi International Airport,47556,Winter,Winter,6.25,6,89.18,66.43,8.51,22.86,421,4,Moderate,true,true,true,35,2092,130,true,1,20.5,614.8,5,5,7,Navratri,Kebabs,80,false,8,6938508,true,1,5,true,11,1,true,false,January
DST1074,Place_74,Assam,South,Hill Station,Scenery,Goa,Marathi,199770,Rajiv Gandhi International Airport,23196,Summer,Winter,11.7,9,46.15,70.91,39.45,36.05,255,2,Easy,false,false,false,20,4784,133,false,5,36.5,2975.4,7,10,8,Navratri,Chole Bhature,32,false,9,9809096,true,5,1,true,83,3,true,false,October
DST1075,Place_75,Tamil Nadu,South,Wildlife,Culture,Pune,Marathi,650640,Chaudhary Charan Singh International Airport,12603,Winter,Winter,1.09,11,85.05,79.59,7.66,15.04,167,4,Easy,false,true,true,27,7612,180,true,3,29.3,271.3,7,6,3,Navratri,Biryani,68,false,6,16263729,false,5,3,true,26,3,false,true,March
